Ticker,Date,Open,High,Low,Close,Adj Close,Volume
manchesterunited,2022-01-18,14.08,14.39,14.04,14.06,13.959412,363600
manchesterunited,2022-01-19,14.05,14.19,13.89,13.95,13.850199,408300
manchesterunited,2022-01-20,13.92,14.01,13.69,13.72,13.621844,401100
manchesterunited,2022-01-21,13.61,13.68,13.36,13.51,13.413346,364000
manchesterunited,2022-01-24,13.35,13.54,13.1,13.52,13.423275,630200
manchesterunited,2022-01-25,13.4,13.48,13.11,13.25,13.155207,404700
manchesterunited,2022-01-26,13.28,13.44,13.13,13.21,13.115493,417200
manchesterunited,2022-01-27,13.25,13.5,13.2,13.42,13.323991,255700
manchesterunited,2022-01-28,13.43,13.54,13.27,13.54,13.443131,224800
manchesterunited,2022-01-31,13.62,13.81,13.57,13.73,13.631772,166600
manchesterunited,2022-02-01,13.8,13.83,13.63,13.76,13.661558,169500
manchesterunited,2022-02-02,13.7,13.74,13.46,13.68,13.58213,393600
manchesterunited,2022-02-03,13.52,13.62,13.47,13.51,13.413346,154800
manchesterunited,2022-02-04,13.5,13.57,13.39,13.51,13.413346,178600
manchesterunited,2022-02-07,13.45,13.57,13.34,13.56,13.462989,138900
manchesterunited,2022-02-08,13.63,13.72,13.52,13.69,13.592058,177700
manchesterunited,2022-02-09,13.75,13.84,13.67,13.75,13.651629,245500
manchesterunited,2022-02-10,13.7,14.11,13.69,14.08,13.979268,255000
manchesterunited,2022-02-11,14.07,14.19,13.81,13.85,13.750915,251600
manchesterunited,2022-02-14,13.76,14.0,13.5,13.51,13.413346,368800
manchesterunited,2022-02-15,13.52,13.74,13.44,13.6,13.502703,544500
manchesterunited,2022-02-16,13.59,13.83,13.49,13.61,13.51263,337100
manchesterunited,2022-02-17,13.52,13.73,13.24,13.32,13.224706,300400
manchesterunited,2022-02-18,13.42,13.42,13.18,13.34,13.244563,305000
manchesterunited,2022-02-22,13.25,13.45,13.15,13.25,13.155207,362300
manchesterunited,2022-02-23,13.34,13.58,13.13,13.16,13.06585,449300
manchesterunited,2022-02-24,12.99,13.17,12.82,13.1,13.00628,345800
manchesterunited,2022-02-25,13.07,13.38,13.01,13.28,13.184992,319300
manchesterunited,2022-02-28,13.21,13.46,12.95,13.45,13.353775,428100
manchesterunited,2022-03-01,13.28,13.43,12.76,12.82,12.728283,1062500
manchesterunited,2022-03-02,12.88,13.03,12.73,12.9,12.80771,523500
manchesterunited,2022-03-03,12.9,13.0,12.71,12.81,12.718355,755900
manchesterunited,2022-03-04,12.66,12.88,12.16,12.34,12.251717,949700
manchesterunited,2022-03-07,12.27,12.59,12.04,12.22,12.132576,832900
manchesterunited,2022-03-08,12.2,12.55,12.16,12.32,12.231859,347300
manchesterunited,2022-03-09,12.45,12.63,12.36,12.45,12.360929,357600
manchesterunited,2022-03-10,12.4,12.77,12.31,12.68,12.589285,353100
manchesterunited,2022-03-11,12.69,12.77,12.55,12.6,12.509857,277800
manchesterunited,2022-03-14,12.64,12.8,12.51,12.54,12.450286,293000
