id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.0025405062,0.0038908918,0.0043754335,0.0068741995,0.003378957,0.0007595136,0.004979083,0.023764009,0.008434618,0.025891585,0.007413636,0.0194717,0.0022987279,0.0048587946,0.003035755,0.0010275254,0.0007993124,0.0030424122,0.0013817428,0.008060147,0.0011952132,0.036628846,0.018777719,0.0026905811,0.0006633355,0.029273206,0.017092349,0.0009952158,0.015101317,0.0021461898,0.003140557,0.00645155,0.08187336,0.0014039879,0.003608105,0.001858703,0.0032280353,0.02103988,0.012680222,0.0036473605,0.008646786,0.031072926,0.0013407824,0.0043147313,0.009600107,0.012052032,0.012767292,0.0017323463,0.00077008456,0.0036924758,0.004392314,0.021389266,0.0049509993,0.019704849,0.008868883,0.005427117,0.01306579,0.032969195,0.00991204,0.0025261205,0.005483796,0.010357821,0.012690813,0.001426235,0.0035642055,0.00162561,0.005868138,0.036262266,0.017758945,0.021108227,0.004895378,0.007215507,0.010922529,0.0028559295,0.012928396,0.009244087,0.00071390305,0.0013109565,0.0016969593,0.0039163716,0.025467532,0.03057816,0.033387117,0.0057593123,0.0012133353,0.003860376,0.0046776473,0.0036707756,0.0019726958,0.005952938,0.0010988382,0.004609369,0.0019334333,0.0013987178,0.03038078,0.016367171,0.015795857,0.0092718145,0.021787679
7,0.0041375477,0.004916193,0.005145177,0.0035041305,0.004248481,0.0009997992,0.0032699432,0.020094585,0.004088703,0.03194714,0.013139446,0.01872257,0.004123183,0.007658544,0.0058429586,0.0012465708,0.0008564794,0.0064180926,0.0029697295,0.003992166,0.0015105807,0.021184992,0.016534707,0.0010809021,0.0017113743,0.02935601,0.018644212,0.0017657133,0.010135926,0.0049551,0.0036526727,0.0055546532,0.020664264,0.0026862668,0.004880147,0.0033415558,0.001655753,0.011682298,0.016279278,0.0043397686,0.027393488,0.013978836,0.0018618028,0.0037565858,0.01964681,0.012985441,0.035054266,0.001219696,0.0012617065,0.004989261,0.0066138143,0.05100671,0.0033559047,0.0151273245,0.010846124,0.007851523,0.011809253,0.019920342,0.009190539,0.003987937,0.0066503054,0.0056764777,0.017072333,0.0009905497,0.0032751265,0.0044059595,0.004048919,0.047041908,0.0077642146,0.016062506,0.0033890365,0.023050597,0.039359838,0.002813801,0.011556471,0.005891025,0.0007207989,0.0017699936,0.0020966316,0.0022501748,0.011781389,0.01722602,0.054583177,0.0030219709,0.0020636295,0.0034755094,0.0017204547,0.004622715,0.000966149,0.007894443,0.002611187,0.00981952,0.0022646205,0.0020729532,0.01382433,0.013692861,0.029511586,0.006650505,0.0155153135
9,0.0025933583,0.003749302,0.004667605,0.008134591,0.003123546,0.0009997046,0.00073298323,0.002340589,0.003057293,0.022183565,0.008733588,0.0061934674,0.0049232733,0.010840025,0.0061395657,0.00043225315,0.0033280614,0.0076052467,0.0033102282,0.0028245887,0.0012419375,0.040152926,0.03042423,0.0011626593,0.0038019498,0.044059366,0.020514,0.00078035664,0.0054209786,0.0024650749,0.0017097414,0.014612318,0.0035454286,0.0011591989,0.004294752,0.0013498175,0.0011364332,0.0100369705,0.0047835773,0.005602094,0.037931938,0.009990332,0.0022560586,0.03255618,0.027848098,0.010023533,0.009411258,0.00074553426,0.00094783143,0.0527543,0.005643531,0.05261254,0.014653002,0.082466714,0.0041707726,0.0036282968,0.014766604,0.018885281,0.014364781,0.004171389,0.021388253,0.0022734741,0.0060719145,0.0026153373,0.004116619,0.0054322993,0.0013244515,0.014303738,0.0068471474,0.0030209979,0.009100275,0.017854722,0.017664041,0.003248664,0.009562008,0.0037927506,0.00017749042,0.0011914211,0.005924595,0.0034235027,0.012733018,0.009770251,0.005541656,0.0039226986,0.009875359,0.0056158397,0.0018226883,0.006327798,0.0006114558,0.008179069,0.0005440953,0.02219933,0.0023318208,0.00069057517,0.00457845,0.018258603,0.019535415,0.0023382648,0.021795303
12,0.0023382623,0.012571097,0.003076966,0.0033577601,0.010726678,0.0026114117,0.0025443,0.012796883,0.008421955,0.076736264,0.004892556,0.0049827085,0.0024678027,0.00655986,0.0037722827,0.0007435636,0.0044503426,0.004170009,0.0016000132,0.009390619,0.0008805876,0.011226949,0.040013008,0.0019414779,0.0008235426,0.016643194,0.020581344,0.0003389754,0.005607356,0.0030511906,0.0022022908,0.009648259,0.007418347,0.0011450092,0.011694716,0.0025412447,0.0022622952,0.0066023264,0.021942234,0.0024600094,0.005333803,0.006873961,0.0014246937,0.009218423,0.04440408,0.010715377,0.0065687653,0.0005896712,0.00030959267,0.021086747,0.037998583,0.014102058,0.002847915,0.025056018,0.012692322,0.0030234412,0.009231008,0.019622324,0.044274136,0.0021897967,0.0031241358,0.0065165996,0.011385838,0.0013881188,0.005345577,0.0014782317,0.0059873657,0.028575344,0.008341045,0.015552896,0.025176333,0.01780543,0.01872755,0.0023260687,0.039923336,0.0022287113,0.0004903536,0.0012597024,0.003184324,0.0022147684,0.02998961,0.007860461,0.017056465,0.0050646835,0.0020502305,0.007541718,0.0010941066,0.0033123044,0.0007746433,0.009520674,0.0017850462,0.0237127,0.0033227848,0.0018439945,0.0062077628,0.025140394,0.01316598,0.004109025,0.010617241
13,0.003820662,0.008164957,0.0043326514,0.00637304,0.005698783,0.0020785697,0.00528392,0.0065447013,0.0058673555,0.0348896,0.0029217438,0.0024933224,0.0020409897,0.005580826,0.0023448856,0.00082211866,0.0064504505,0.0022849722,0.0010786675,0.017895414,0.00055766286,0.0046029636,0.05084899,0.0022809347,0.0009546462,0.012921765,0.04206978,0.00056835683,0.004444682,0.0023658306,0.000956047,0.0071904063,0.010768724,0.0011355433,0.010399548,0.0017925923,0.002399587,0.005471057,0.026790759,0.0074812477,0.00446512,0.00779833,0.0028269335,0.02635759,0.012997781,0.018692313,0.0048623,0.0023370918,0.0003625158,0.013313707,0.021369018,0.008222876,0.0029500055,0.037890885,0.016445467,0.003141163,0.008890762,0.0140584,0.10991495,0.004239647,0.0052173296,0.0070804483,0.009363889,0.0034794132,0.0025741628,0.00091567537,0.013406727,0.026256077,0.012429347,0.009816058,0.035160143,0.007667057,0.00905569,0.0019648527,0.032358266,0.0067259027,0.0015434053,0.0020219306,0.0033660196,0.010229385,0.028885104,0.0052400744,0.006337882,0.00963174,0.004010272,0.0066840183,0.0013412185,0.0041832486,0.0010254099,0.0145353265,0.0021682605,0.007273675,0.005815497,0.001932378,0.0035746302,0.02546736,0.0058013923,0.005366606,0.01598839
16,0.0029408145,0.009732971,0.004285649,0.00704383,0.006299601,0.0019774286,0.007311735,0.015688255,0.01008697,0.05657138,0.009404237,0.005265144,0.0032952523,0.007146644,0.009971023,0.0015726422,0.001739318,0.0035051953,0.0029547988,0.007418894,0.0014443669,0.015168865,0.039848905,0.001733429,0.0023693754,0.019890664,0.020544192,0.0012888719,0.011747355,0.004118567,0.0041712187,0.0043697287,0.018104853,0.001369812,0.0050527314,0.0067246677,0.0035342127,0.010671758,0.016707834,0.0046338164,0.005974429,0.0059904465,0.0030671246,0.006093275,0.014797705,0.00925842,0.0108826775,0.0036672526,0.00077322393,0.006343786,0.009149267,0.021757618,0.005139958,0.016771175,0.006205452,0.006581027,0.0073822346,0.037934598,0.015255358,0.0044473098,0.004450123,0.005929379,0.019635024,0.0014817015,0.0042399615,0.0023943426,0.0063327984,0.01426562,0.022327317,0.02383011,0.010700809,0.011525735,0.017007055,0.0056052995,0.02627228,0.0071631344,0.0012243026,0.0027376632,0.0062069986,0.0062094303,0.036173135,0.014203366,0.028065396,0.0042733615,0.0014281097,0.007698299,0.0019130162,0.008667866,0.0006543527,0.005310074,0.0024670393,0.010061536,0.0050511896,0.0028035727,0.029915307,0.022272805,0.020182582,0.013418657,0.020721871
19,0.003481148,0.0073822793,0.004510836,0.00603642,0.0033984203,0.0010631372,0.006056531,0.022803202,0.0059398403,0.041354403,0.011774693,0.011014192,0.0033343947,0.0098001575,0.0060076546,0.0018368085,0.001177721,0.0032887838,0.0028400675,0.007882107,0.0011062147,0.021627903,0.019769909,0.0013885151,0.0013474901,0.02749533,0.022512887,0.0015384456,0.016140379,0.004072807,0.0039391792,0.0051204073,0.031315643,0.001677292,0.0035525514,0.00398739,0.003007929,0.0115176495,0.014978277,0.0033966866,0.008705562,0.009111347,0.0023173362,0.0047265044,0.011394249,0.0094949985,0.011959051,0.0023858831,0.00067133154,0.0058772042,0.006359482,0.03040595,0.0038232447,0.013814799,0.006666002,0.0056635425,0.015005162,0.04273126,0.010285942,0.0026637423,0.0058095357,0.004766639,0.027677057,0.0008769432,0.004042785,0.0027902438,0.0067721196,0.019437348,0.020698624,0.019581618,0.0052000326,0.013888042,0.023428032,0.006130149,0.01945529,0.008875492,0.0010137762,0.0023949565,0.0027226086,0.00346449,0.03138397,0.01674036,0.03410434,0.004684374,0.0017039949,0.0052860836,0.002460682,0.00716458,0.0010601383,0.006552152,0.0023120388,0.011613306,0.0033399048,0.0018706832,0.03269132,0.016575022,0.01699092,0.012584203,0.027317936
23,0.0034789725,0.0038173508,0.007171536,0.0047684587,0.0030644643,0.0016918832,0.003179476,0.006121074,0.005709606,0.010129845,0.006107572,0.019692268,0.0056766435,0.010721833,0.0034222878,0.0012365875,0.0011980615,0.00998695,0.0055641956,0.0047206497,0.0024975932,0.04638586,0.009597337,0.0050434573,0.001643143,0.021061102,0.013699799,0.0033466264,0.007482575,0.008893961,0.0045849313,0.022032052,0.043829236,0.0032839107,0.0028463628,0.0013872971,0.004015421,0.01741524,0.016717575,0.004229743,0.052233037,0.050625887,0.0030641153,0.010844106,0.011161798,0.017240161,0.021806538,0.0012267714,0.0041792435,0.0048923846,0.0033443058,0.0476354,0.0084617995,0.025915496,0.011918692,0.010161933,0.018503554,0.009757425,0.010734792,0.0049259574,0.019487018,0.008632217,0.004767763,0.004619386,0.005488477,0.006436083,0.005152603,0.042678002,0.012326413,0.010373942,0.004446503,0.0068868734,0.011955295,0.0021048689,0.004386134,0.013771751,0.0005979142,0.001730817,0.0017046134,0.004049008,0.012605398,0.011553624,0.020621788,0.0064083827,0.0057067047,0.002382561,0.00436036,0.0024201155,0.0061197095,0.008500118,0.0020036884,0.005129908,0.0011568959,0.0021451446,0.010571709,0.011469714,0.010939146,0.0042799152,0.013943124
24,0.00358195,0.001675729,0.007127138,0.009994664,0.0037039125,0.0006226875,0.0010046822,0.0067209383,0.005981521,0.02273675,0.0077383514,0.008949038,0.0020853651,0.0071117575,0.0021088736,0.0009225581,0.0008283646,0.0029287264,0.0041938038,0.0040258914,0.0022923884,0.026962228,0.00885128,0.0029022126,0.0006339884,0.07401461,0.025894998,0.0006592537,0.029632559,0.0024989434,0.0026005208,0.014695209,0.024125505,0.0015288697,0.003283766,0.0009062764,0.0023779713,0.043719333,0.0039865333,0.0028053066,0.049617317,0.07905863,0.0011139833,0.010887479,0.009867212,0.016529957,0.0061570145,0.00044483162,0.0009953523,0.008827923,0.0037434099,0.019029597,0.008672144,0.06775105,0.008804034,0.0033003355,0.011524781,0.020738352,0.0069542173,0.0018963148,0.016789284,0.0066939634,0.00895769,0.0018576834,0.0067769284,0.0066130715,0.001368,0.028754834,0.0055171084,0.006974226,0.0030836132,0.016612684,0.005912541,0.00274674,0.00310837,0.0031693769,0.00059900124,0.001218005,0.0020655328,0.001705584,0.0082248235,0.031342894,0.009171028,0.013331784,0.002595065,0.0010986603,0.001976471,0.0031805711,0.0011094303,0.00643647,0.00045840355,0.004114638,0.0006969142,0.0005019431,0.005035841,0.015253607,0.021772001,0.003377429,0.025469404
28,0.0010795947,0.0026241972,0.0024664502,0.010255618,0.0057561845,0.00096097816,0.0010237894,0.0027841572,0.0072567915,0.03432899,0.009009165,0.0049630175,0.00430313,0.007151627,0.005969725,0.00020531008,0.0023083533,0.0046874564,0.0021455444,0.0064820643,0.00101123,0.04081742,0.02165801,0.002320898,0.0017117481,0.036450174,0.011117329,0.00038637462,0.0046740915,0.0020913496,0.0022509184,0.010231028,0.006021559,0.00058224215,0.0038652555,0.0012979746,0.0011280575,0.007363815,0.0051624,0.0033850183,0.019838639,0.017671546,0.00083189015,0.024650835,0.027360767,0.011453813,0.00816766,0.00051641534,0.0008572831,0.022682767,0.0064458395,0.019421069,0.009824335,0.16750905,0.011179268,0.0031444526,0.011749793,0.016223611,0.023949394,0.0038003211,0.01183939,0.0062307264,0.0040956046,0.0035456836,0.0046942537,0.004026254,0.0016181354,0.018466791,0.005010727,0.0041583898,0.010291443,0.0100410655,0.010161742,0.0012283095,0.020225223,0.0029727332,0.00011791292,0.00095949415,0.0054665366,0.004300927,0.01619074,0.016991017,0.005713957,0.005858956,0.0031161825,0.0039036728,0.0021289685,0.0027089703,0.00044055525,0.0045009623,0.0002725273,0.010929797,0.0020021324,0.0007247406,0.0074213576,0.044248182,0.023501413,0.0014672927,0.0318595
